short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	coll_cache:solve_time	Step(average) L1 sample	Step(average) L1 recv	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time	coll_cache:z
dlrm	CliqPart	1.000000	32768	SP_02_S100_C800m	None	0.000000	0.000000	0.006857	0.012454	0.006405	0.000000	0.000000	100.000000	0.000000	0.000000	0.241150	0.723449	0.035402	60.987510	nan	nan	0.390625	0.000000	0.000000	0.010000	0.030000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	1.000000	32768	SP_02_S100_C800m	None	0.000000	0.000000	0.002638	0.008174	0.002145	0.002036	0.001868	23.912500	71.735000	4.352500	0.241150	0.723449	0.035401	43.546948	137.630080	9.101688	0.093408	0.280215	0.017002	0.010000	0.030000	0.040000	nan	nan	nan	None
dlrm	Rep	1.000000	32768	SP_02_S100_C800m	None	0.000000	0.000000	0.007075	0.012597	0.006648	0.000000	0.000000	100.000000	0.000000	0.000000	0.935352	0.000000	0.064648	58.758273	nan	nan	0.390625	0.000000	0.000000	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseRep	1.000000	32768	SP_02_S100_C800m	None	0.000000	0.000000	0.003175	0.008868	0.000991	0.000032	0.002708	93.332500	0.000000	6.667500	0.935347	0.000000	0.064653	367.891098	0.000000	9.617770	0.364580	0.000000	0.026045	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	1.000000	32768	SP_02_S100_C800m	0.120000	0.000000	0.000000	0.002499	0.007909	0.001625	0.001533	0.002030	61.400000	34.065000	4.535000	0.637135	0.322380	0.040485	147.596154	86.801309	8.726524	0.239844	0.133066	0.017715	0.009867	0.023710	0.033578	nan	nan	nan	None
dlrm	CliqPart	2.000000	32768	SP_02_S100_C800m	None	0.000000	0.000000	0.006822	0.012429	0.006365	0.000000	0.000000	100.000000	0.000000	0.000000	0.244636	0.733908	0.021456	61.370778	nan	nan	0.390625	0.000000	0.000000	0.020000	0.060000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	2.000000	32768	SP_02_S100_C800m	None	0.000000	0.000000	0.002668	0.008292	0.002171	0.002088	0.001755	24.092500	72.285000	3.622500	0.244635	0.733906	0.021459	43.349299	135.231457	8.062901	0.094111	0.282363	0.014150	0.020000	0.060000	0.080000	nan	nan	nan	None
dlrm	Rep	2.000000	32768	SP_02_S100_C800m	None	0.000000	0.000000	0.006940	0.012306	0.006498	0.000000	0.000000	100.000000	0.000000	0.000000	0.950481	0.000000	0.049519	60.114651	nan	nan	0.390625	0.000000	0.000000	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseRep	2.000000	32768	SP_02_S100_C800m	None	0.000000	0.000000	0.002765	0.008178	0.001245	0.000027	0.002299	94.640000	0.000000	5.360000	0.950477	0.000000	0.049523	296.937751	0.000000	9.107221	0.369688	0.000000	0.020938	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	2.000000	32768	SP_02_S100_C800m	0.150000	0.000000	0.000000	0.002386	0.008010	0.001539	0.001320	0.001927	71.477500	24.667500	3.855000	0.708077	0.262902	0.029021	181.422342	72.998047	7.814527	0.279209	0.096357	0.015059	0.019573	0.037537	0.057111	nan	nan	nan	None
dlrm	CliqPart	1.000000	32768	CR	None	0.000000	0.000000	0.001663	0.003803	0.001501	0.000000	0.000000	100.000000	0.000000	0.000000	0.250000	0.750000	0.000000	67.663225	nan	nan	0.101562	0.000000	0.000000	0.010000	0.030000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	1.000000	32768	CR	None	0.000000	0.000000	0.000560	0.002681	0.000372	0.000354	0.000362	24.346154	73.057692	2.596154	0.250000	0.750000	0.000000	66.469254	209.602313	7.283753	0.024727	0.074199	0.002637	0.010000	0.030000	0.040000	nan	nan	nan	None
dlrm	Rep	1.000000	32768	CR	None	0.000000	0.000000	0.001584	0.003693	0.001426	0.000000	0.000000	100.000000	0.000000	0.000000	0.993397	0.000000	0.006603	71.221950	nan	nan	0.101562	0.000000	0.000000	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseRep	1.000000	32768	CR	None	0.000000	0.000000	0.000554	0.002592	0.000282	0.000029	0.000367	97.153846	0.000000	2.846154	0.993397	0.000000	0.006603	349.900266	0.000000	7.876362	0.098672	0.000000	0.002891	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	1.000000	32768	CR	0.160000	0.000000	0.000000	0.000562	0.002607	0.000292	0.000100	0.000359	96.992516	0.353638	2.653846	0.982352	0.007559	0.010089	337.356247	3.591633	7.507834	0.098508	0.000359	0.002695	0.009928	0.006445	0.016373	nan	nan	nan	None
dlrm	CliqPart	2.000000	32768	CR	None	0.000000	0.000000	0.001690	0.003767	0.001528	0.000000	0.000000	100.000000	0.000000	0.000000	0.250000	0.750000	0.000000	66.467605	nan	nan	0.101562	0.000000	0.000000	0.020000	0.060000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	2.000000	32768	CR	None	0.000000	0.000000	0.000576	0.002660	0.000381	0.000364	0.000375	24.375000	73.134615	2.490385	0.250000	0.750000	0.000000	64.976009	204.058637	6.744792	0.024756	0.074277	0.002529	0.020000	0.060000	0.080000	nan	nan	nan	None
dlrm	Rep	2.000000	32768	CR	None	0.000000	0.000000	0.001577	0.003687	0.001417	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	71.674312	nan	nan	0.101562	0.000000	0.000000	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseRep	2.000000	32768	CR	None	0.000000	0.000000	0.000558	0.002578	0.000342	0.000032	0.000360	97.355769	0.000000	2.644231	1.000000	0.000000	0.000000	289.113898	0.000000	7.459852	0.098877	0.000000	0.002686	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	2.000000	32768	CR	0.130000	0.000000	0.000000	0.000568	0.002658	0.000344	0.000103	0.000371	96.937378	0.408776	2.653846	0.986746	0.003165	0.010089	286.197746	4.030709	7.264993	0.098452	0.000415	0.002695	0.016019	0.000354	0.016373	nan	nan	nan	None
