short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	coll_cache:solve_time	Step(average) L1 sample	Step(average) L1 recv	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time	coll_cache:z
dlrm	CliqPart	1.000000	65536	CR	None	0.000000	0.000000	0.000732	0.001888	0.000603	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	168.428690	nan	nan	0.101562	0.000000	0.000000	0.010000	0.070000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	1.000000	65536	CR	None	0.000000	0.000000	0.000440	0.001636	0.000281	0.000278	0.000267	12.230769	85.634615	2.134615	0.125000	0.875000	0.000000	44.205961	312.851281	8.119733	0.012422	0.086973	0.002168	0.010000	0.070000	0.080000	nan	nan	nan	None
dlrm	Rep	1.000000	65536	CR	None	0.000000	0.000000	0.000749	0.001912	0.000622	0.000000	0.000000	100.000000	0.000000	0.000000	0.988510	0.000000	0.011490	163.283762	nan	nan	0.101562	0.000000	0.000000	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseRep	1.000000	65536	CR	None	0.000000	0.000000	0.000447	0.001639	0.000197	0.000027	0.000292	97.490385	0.000000	2.509615	0.988510	0.000000	0.011490	502.607471	0.000000	8.728863	0.099014	0.000000	0.002549	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0.760000	0.000000	0.000000	0.000429	0.001609	0.000198	0.000084	0.000267	97.431105	0.328510	2.240385	0.982826	0.012185	0.004989	499.764982	3.971940	8.522062	0.098953	0.000334	0.002275	0.009948	0.022230	0.032178	nan	nan	nan	None
dcn	CliqPart	1.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	1.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	Rep	1.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	MPSPhaseRep	1.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	1.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dlrm	CliqPart	2.000000	65536	CR	None	0.000000	0.000000	0.000720	0.001879	0.000588	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	172.725340	nan	nan	0.101562	0.000000	0.000000	0.020000	0.140000	0.160000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	2.000000	65536	CR	None	0.000000	0.000000	0.000451	0.001655	0.000296	0.000293	0.000260	12.250000	85.788462	1.961538	0.125000	0.875000	0.000000	42.031778	297.368281	7.662260	0.012441	0.087129	0.001992	0.020000	0.140000	0.160000	nan	nan	nan	None
dlrm	Rep	2.000000	65536	CR	None	0.000000	0.000000	0.000753	0.001897	0.000624	0.000000	0.000000	100.000000	0.000000	0.000000	0.993691	0.000000	0.006309	162.760417	nan	nan	0.101562	0.000000	0.000000	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseRep	2.000000	65536	CR	None	0.000000	0.000000	0.000439	0.001597	0.000199	0.000025	0.000283	97.605769	0.000000	2.394231	0.993691	0.000000	0.006309	498.145022	0.000000	8.592370	0.099131	0.000000	0.002432	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	2.000000	65536	CR	0.780000	0.000000	0.000000	0.000432	0.001623	0.000203	0.000081	0.000269	97.593130	0.166485	2.240385	0.988390	0.006621	0.004989	488.266123	2.087487	8.458701	0.099118	0.000169	0.002275	0.019801	0.012376	0.032178	nan	nan	nan	None
dcn	CliqPart	2.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	2.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dcn	Rep	2.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dcn	MPSPhaseRep	2.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	2.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dlrm	CliqPart	4.000000	65536	CR	None	0.000000	0.000000	0.000693	0.001851	0.000560	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	181.361607	nan	nan	0.101562	0.000000	0.000000	0.040000	0.280000	0.320000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	4.000000	65536	CR	None	0.000000	0.000000	0.000496	0.001678	0.000339	0.000337	0.000277	12.307692	86.096154	1.596154	0.125000	0.875000	0.000000	36.873156	259.470048	5.852324	0.012500	0.087441	0.001621	0.040000	0.280000	0.320000	nan	nan	nan	None
dlrm	Rep	4.000000	65536	CR	None	0.000000	0.000000	0.000729	0.001902	0.000602	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	168.708472	nan	nan	0.101562	0.000000	0.000000	0.040000	0.000000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseRep	4.000000	65536	CR	None	0.000000	0.000000	0.000430	0.001608	0.000209	0.000028	0.000272	97.778846	0.000000	2.221154	1.000000	0.000000	0.000000	475.151391	0.000000	8.293601	0.099307	0.000000	0.002256	0.040000	0.000000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	4.000000	65536	CR	0.340000	0.000000	0.000000	0.000435	0.001656	0.000204	0.000024	0.000272	97.759615	0.000000	2.240385	0.995011	0.000000	0.004989	486.701517	0.000000	8.365407	0.099287	0.000000	0.002275	0.032178	0.000000	0.032178	nan	nan	nan	None
dcn	CliqPart	4.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	4.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	Rep	4.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	MPSPhaseRep	4.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	4.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dlrm	CliqPart	8.000000	65536	CR	None	0.000000	0.000000	0.000670	0.001813	0.000526	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	193.084601	nan	nan	0.101562	0.000000	0.000000	0.080000	0.560000	0.640000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	8.000000	65536	CR	None	0.000000	0.000000	0.000618	0.001815	0.000457	0.000455	0.000270	12.384052	86.721154	0.894794	0.125000	0.875000	0.000000	27.521997	193.574004	3.365835	0.012578	0.088076	0.000909	0.080000	0.560000	0.640000	nan	nan	nan	None
dlrm	Rep	8.000000	65536	CR	None	0.000000	0.000000	0.000742	0.001888	0.000614	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	165.411238	nan	nan	0.101562	0.000000	0.000000	0.080000	0.000000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseRep	8.000000	65536	CR	None	0.000000	0.000000	0.000441	0.001597	0.000211	0.000027	0.000282	97.615385	0.000000	2.384615	1.000000	0.000000	0.000000	469.860782	0.000000	8.588209	0.099141	0.000000	0.002422	0.080000	0.000000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	5.430000	0.000000	0.000000	0.000442	0.001626	0.000284	0.000192	0.000276	97.576923	0.961538	1.461538	0.993229	0.003884	0.002887	348.949164	5.086263	5.378170	0.099102	0.000977	0.001484	0.079712	0.360330	0.440042	nan	nan	nan	None
dcn	CliqPart	8.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	8.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dcn	Rep	8.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dcn	MPSPhaseRep	8.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dlrm	CliqPart	12.000000	65536	CR	None	0.000000	0.000000	0.000761	0.001917	0.000610	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	166.495902	nan	nan	0.101562	0.000000	0.000000	0.120000	0.840000	0.960000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	12.000000	65536	CR	None	0.000000	0.000000	0.000747	0.001940	0.000577	0.000574	0.000055	12.479210	87.384615	0.136174	0.125000	0.875000	0.000000	21.965681	154.616725	2.514579	0.012674	0.088750	0.000138	0.120000	0.840000	0.960000	nan	nan	nan	None
dlrm	Rep	12.000000	65536	CR	None	0.000000	0.000000	0.000751	0.001895	0.000612	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	165.951797	nan	nan	0.101562	0.000000	0.000000	0.120000	0.000000	0.120000	nan	nan	nan	None
dlrm	MPSPhaseRep	12.000000	65536	CR	None	0.000000	0.000000	0.000444	0.001610	0.000214	0.000026	0.000278	97.701923	0.000000	2.298077	1.000000	0.000000	0.000000	463.684652	0.000000	8.395627	0.099229	0.000000	0.002334	0.120000	0.000000	0.120000	nan	nan	nan	None
