short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	coll_cache:solve_time	Step(average) L2 feat copy	Step(average) L1 train total	Step(average) L1 sample	Step(average) L1 recv	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time	coll_cache:z
dlrm	CliqPart	12.000000	65536	CR	None	0.000696	0.001871	0.000000	0.000000	0.000544	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	186.695772	nan	nan	0.101562	0.000000	0.000000	0.120000	0.840000	0.960000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	12.000000	65536	CR	None	0.000663	0.001884	0.000000	0.000000	0.000047	0.000448	0.000068	12.486056	87.403846	0.110098	0.125000	0.875000	0.000000	269.811711	198.146275	1.644387	0.012681	0.088770	0.000112	0.120000	0.840000	0.960000	nan	nan	nan	None
dlrm	Rep	12.000000	65536	CR	None	0.000533	0.001671	0.000000	0.000000	0.000393	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	258.428753	nan	nan	0.101562	0.000000	0.000000	0.120000	0.000000	0.120000	nan	nan	nan	None
dlrm	MPSPhaseRep	12.000000	65536	CR	None	0.000414	0.001582	0.000000	0.000000	0.000252	0.000000	0.000244	97.951923	0.000000	2.048077	1.000000	0.000000	0.000000	394.771515	nan	8.524910	0.099482	0.000000	0.002080	0.120000	0.000000	0.120000	nan	nan	nan	None
dlrm	CollAsymm	12.000000	65536	CR	8.160000	0.000528	0.001713	0.000000	0.000000	0.000392	0.000000	0.000000	100.000000	0.000000	0.000000	0.988092	0.011908	0.000000	259.088010	nan	nan	0.101562	0.000000	0.000000	0.119588	0.596169	0.715757	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	5.490000	0.000448	0.001650	0.000000	0.000000	0.000083	0.000212	0.000266	97.916166	1.278846	0.804988	0.998645	0.001355	0.000000	1198.145855	6.126548	3.073556	0.099446	0.001299	0.000818	0.119516	0.533452	0.652967	nan	nan	nan	None
dlrm	SOK	12.000000	65536	CR	None	0.001707	0.003022	0.000000	0.000000	0.000000	0.000000	0.000201	nan	nan	nan	None	None	None	nan	nan	0.000000	0.000000	0.000000	0.000000	0.120000	0	0.120000	nan	nan	nan	None
dlrm	HPS	12.000000	65536	CR	None	0.001332	0.002646	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.120000	0	0.120000	nan	nan	nan	None
dcn	CliqPart	12.000000	65536	CR	None	0.000688	0.002636	0.000000	0.000000	0.000543	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	187.039595	nan	nan	0.101562	0.000000	0.000000	0.120000	0.840000	0.960000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	12.000000	65536	CR	None	0.000659	0.002670	0.000000	0.000000	0.000049	0.000444	0.000066	12.491202	87.403846	0.104952	0.125000	0.875000	0.000000	258.905644	199.931377	1.615033	0.012686	0.088770	0.000107	0.120000	0.840000	0.960000	nan	nan	nan	None
dcn	Rep	12.000000	65536	CR	None	0.000529	0.002479	0.000000	0.000000	0.000392	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	259.088010	nan	nan	0.101562	0.000000	0.000000	0.120000	0.000000	0.120000	nan	nan	nan	None
dcn	MPSPhaseRep	12.000000	65536	CR	None	0.000415	0.002354	0.000000	0.000000	0.000254	0.000000	0.000245	97.951923	0.000000	2.048077	1.000000	0.000000	0.000000	391.663078	nan	8.490115	0.099482	0.000000	0.002080	0.120000	0.000000	0.120000	nan	nan	nan	None
dcn	CollAsymm	12.000000	65536	CR	7.810000	0.000525	0.002470	0.000000	0.000000	0.000392	0.000000	0.000000	100.000000	0.000000	0.000000	0.988092	0.011908	0.000000	259.088010	nan	nan	0.101562	0.000000	0.000000	0.119495	0.596262	0.715757	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	5.430000	0.000447	0.002419	0.000000	0.000000	0.000084	0.000211	0.000265	97.916166	1.278846	0.804988	0.998645	0.001355	0.000000	1183.882214	6.155584	3.085154	0.099446	0.001299	0.000818	0.119849	0.533119	0.652967	nan	nan	nan	None
dcn	SOK	12.000000	65536	CR	None	0.001566	0.003582	0.000000	0.000000	0.000000	0.000000	0.000202	nan	nan	nan	None	None	None	nan	nan	0.000000	0.000000	0.000000	0.000000	0.120000	0	0.120000	nan	nan	nan	None
dcn	HPS	12.000000	65536	CR	None	0.001242	0.003290	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.120000	0	0.120000	nan	nan	nan	None
dlrm	CliqPart	8.000000	65536	SP_02_S100_C800m	None	0.002204	0.005111	0.000000	0.000000	0.001926	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	202.816719	nan	nan	0.390625	0.000000	0.000000	0.080000	0.560000	0.640000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	8.000000	65536	SP_02_S100_C800m	None	0.001653	0.004398	0.000000	0.000000	0.000261	0.001096	0.000676	12.385000	86.685000	0.930000	0.125000	0.875000	0.000000	185.359794	308.953724	5.373983	0.048379	0.338613	0.003633	0.080000	0.560000	0.640000	nan	nan	nan	None
dlrm	Rep	8.000000	65536	SP_02_S100_C800m	None	0.002251	0.005113	0.000000	0.000000	0.001999	0.000000	0.000000	100.000000	0.000000	0.000000	0.975329	0.000000	0.024671	195.410205	nan	nan	0.390625	0.000000	0.000000	0.080000	0.000000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseRep	8.000000	65536	SP_02_S100_C800m	None	0.001663	0.004367	0.000000	0.000000	0.000608	0.000000	0.001387	96.730000	0.000000	3.270000	0.975327	0.000000	0.024673	621.466386	nan	9.209400	0.377852	0.000000	0.012773	0.080000	0.000000	0.080000	nan	nan	nan	None
dlrm	CollAsymm	8.000000	65536	SP_02_S100_C800m	10.630000	0.001751	0.004420	0.000000	0.000000	0.001513	0.000000	0.000000	100.000000	0.000000	0.000000	0.667988	0.331758	0.000254	258.179114	nan	nan	0.390625	0.000000	0.000000	0.079767	0.274106	0.353873	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	2.800000	0.001485	0.004240	0.000000	0.000000	0.000314	0.000511	0.001217	95.872500	2.112500	2.015000	0.966131	0.033196	0.000674	1192.681379	16.148636	6.467620	0.374502	0.008252	0.007871	0.079619	0.181722	0.261340	nan	nan	nan	None
dlrm	SOK	8.000000	65536	SP_02_S100_C800m	None	0.005234	0.008658	0.000000	0.000000	0.000000	0.000000	0.000867	nan	nan	nan	None	None	None	nan	nan	0.000000	0.000000	0.000000	0.000000	0.080000	0	0.080000	nan	nan	nan	None
dlrm	HPS	8.000000	65536	SP_02_S100_C800m	None	0.006130	0.009394	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.080000	0	0.080000	nan	nan	nan	None
