short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	coll_cache:solve_time	Step(average) L2 feat copy	Step(average) L1 train total	Step(average) L1 sample	Step(average) L1 recv	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time	coll_cache:z
dlrm	CliqPart	4.000000	65536	CR	None	0.001369	0.003385	0.000000	0.000000	0.001211	0.000000	0.000000	100.000000	0.000000	0.000000	0.250000	0.750000	0.000000	83.866639	nan	nan	0.101562	0.000000	0.000000	0.040000	0.120000	0.160000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	4.000000	65536	CR	None	0.000891	0.002947	0.000000	0.000000	0.000292	0.000416	0.000476	24.500000	73.509615	1.990385	0.250000	0.750000	0.000000	85.215111	179.466834	4.246816	0.024883	0.074658	0.002021	0.040000	0.120000	0.160000	nan	nan	nan	None
dlrm	Rep	4.000000	65536	CR	None	0.001074	0.003113	0.000000	0.000000	0.000918	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	110.634532	nan	nan	0.101562	0.000000	0.000000	0.040000	0.000000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseRep	4.000000	65536	CR	None	0.000687	0.002746	0.000000	0.000000	0.000508	0.000000	0.000500	97.750000	0.000000	2.250000	1.000000	0.000000	0.000000	195.427842	nan	4.570312	0.099277	0.000000	0.002285	0.040000	0.000000	0.040000	nan	nan	nan	None
dlrm	CollAsymm	4.000000	65536	CR	13.880000	0.001171	0.003186	0.000000	0.000000	0.001012	0.000000	0.000000	100.000000	0.000000	0.000000	0.908554	0.091446	0.000000	100.358202	nan	nan	0.101562	0.000000	0.000000	0.015394	0.016784	0.032178	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	4.000000	65536	CR	12.350000	0.000736	0.002814	0.000000	0.000000	0.000246	0.000308	0.000522	86.538462	11.250000	2.211538	0.887056	0.112944	0.000000	357.278963	37.096692	4.302862	0.087891	0.011426	0.002246	0.039370	0.018956	0.058326	nan	nan	nan	None
dlrm	SOK	4.000000	65536	CR	None	0.003830	0.006088	0.000000	0.000000	0.000000	0.000000	0.000380	nan	nan	nan	None	None	None	nan	nan	0.000000	0.000000	0.000000	0.000000	0.040000	0	0.040000	nan	nan	nan	None
dlrm	HPS	4.000000	65536	CR	None	0.002167	0.004254	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.040000	0	0.040000	nan	nan	nan	None
dcn	CliqPart	4.000000	65536	CR	None	0.001348	0.005506	0.000000	0.000000	0.001182	0.000000	0.000000	100.000000	0.000000	0.000000	0.250000	0.750000	0.000000	85.924281	nan	nan	0.101562	0.000000	0.000000	0.040000	0.120000	0.160000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	4.000000	65536	CR	None	0.000896	0.005080	0.000000	0.000000	0.000289	0.000413	0.000468	24.500000	73.509615	1.990385	0.250000	0.750000	0.000000	86.099697	180.770468	4.319411	0.024883	0.074658	0.002021	0.040000	0.120000	0.160000	nan	nan	nan	None
dcn	Rep	4.000000	65536	CR	None	0.001056	0.005195	0.000000	0.000000	0.000894	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	113.604586	nan	nan	0.101562	0.000000	0.000000	0.040000	0.000000	0.040000	nan	nan	nan	None
dcn	MPSPhaseRep	4.000000	65536	CR	None	0.000683	0.004930	0.000000	0.000000	0.000495	0.000000	0.000482	97.750000	0.000000	2.250000	1.000000	0.000000	0.000000	200.560290	nan	4.740988	0.099277	0.000000	0.002285	0.040000	0.000000	0.040000	nan	nan	nan	None
dcn	CollAsymm	4.000000	65536	CR	14.390000	0.001164	0.005316	0.000000	0.000000	0.000996	0.000000	0.000000	100.000000	0.000000	0.000000	0.908554	0.091446	0.000000	101.970382	nan	nan	0.101562	0.000000	0.000000	0.019616	0.012562	0.032178	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	4.000000	65536	CR	12.760000	0.000741	0.004969	0.000000	0.000000	0.000249	0.000295	0.000516	86.538462	11.250000	2.211538	0.887056	0.112944	0.000000	352.974398	38.731462	4.352895	0.087891	0.011426	0.002246	0.039370	0.018956	0.058326	nan	nan	nan	None
dcn	SOK	4.000000	65536	CR	None	0.004288	0.008456	0.000000	0.000000	0.000000	0.000000	0.000387	nan	nan	nan	None	None	None	nan	nan	0.000000	0.000000	0.000000	0.000000	0.040000	0	0.040000	nan	nan	nan	None
dcn	HPS	4.000000	65536	CR	None	0.002177	0.006426	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.040000	0	0.040000	nan	nan	nan	None
