short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_refresh_seq_bucket_sz
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000425	0.001936	0.000001	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000431	0.001889	1.070524	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000455	0.001985	2.115393	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000435	0.001864	3.185100	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000415	0.001840	4.229444	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000455	0.001950	5.253222	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000460	0.001960	6.315479	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000475	0.002036	7.362095	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000493	0.001935	8.455493	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000475	0.001923	9.520907	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000422	0.001862	10.580779	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000473	0.001956	11.628224	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000470	0.001948	12.709644	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000483	0.001993	13.775188	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000495	0.002009	14.863205	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000489	0.002001	15.945022	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000438	0.001953	17.012638	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000487	0.002137	18.067743	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000479	0.001915	19.179231	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000494	0.001938	20.242834	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000547	0.002078	21.322730	4000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000484	0.002072	22.478251	4000
