short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_enable_refresh
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000432	0.001964	0.000001	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000434	0.001891	1.079594	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000454	0.001966	2.121576	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000435	0.001861	3.180469	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000415	0.001835	4.224588	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000453	0.001932	5.255426	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000460	0.001958	6.315428	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000471	0.002022	7.372760	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000494	0.001927	8.465876	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000471	0.001914	9.528343	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000424	0.001865	10.575426	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000475	0.001941	11.626179	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000468	0.001927	12.682421	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000482	0.001960	13.727674	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000494	0.001997	14.789901	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000486	0.001991	15.876277	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000440	0.001944	16.932321	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000477	0.002113	17.966513	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000479	0.001913	19.081718	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000500	0.001926	20.149080	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000532	0.002028	21.218303	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000480	0.002014	22.374066	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000495	0.002162	23.480665	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000509	0.002091	24.674342	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000536	0.002134	25.815598	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000549	0.002180	26.983508	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000480	0.002195	28.148325	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000507	0.002036	29.319752	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000511	0.001986	30.442558	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000542	0.002066	31.531300	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000536	0.002058	32.662636	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000470	0.001967	33.771938	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000483	0.002012	34.852065	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000491	0.002080	35.935273	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000522	0.002210	37.035248	True
