short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_refresh_seq_bucket_sz	coll_cache_enable_refresh	Python seq e2e time
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000407	0.001629	0.000001	4000	False	0.029498
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000409	0.001613	1.064992	4000	False	0.071983
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000431	0.001629	2.095846	4000	False	0.001581
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000414	0.001629	3.150691	4000	False	0.001576
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000389	0.001576	4.195080	4000	False	0.001577
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000435	0.001629	5.203537	4000	False	0.001591
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000437	0.001626	6.258272	4000	False	0.001542
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000450	0.001641	7.304723	4000	False	0.001592
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000473	0.001659	8.339155	4000	False	0.001609
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000452	0.001634	9.400258	4000	False	0.001632
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000398	0.001585	10.434908	4000	False	0.001660
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000457	0.001649	11.458412	4000	False	0.001632
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000453	0.001631	12.537401	4000	False	0.001571
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000458	0.001636	13.572059	4000	False	0.001641
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000474	0.001654	14.607707	4000	False	0.001646
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000465	0.001639	15.659193	4000	False	0.001621
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000417	0.001594	16.694817	4000	False	0.001645
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000457	0.001639	17.709682	4000	False	0.001610
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000459	0.001636	18.759423	4000	False	0.001596
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000477	0.001655	19.788187	4000	False	0.001668
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000500	0.001666	20.839777	4000	False	0.001626
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000454	0.001628	21.890305	4000	False	0.001650
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000468	0.001637	22.941233	4000	False	0.001654
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000477	0.001649	23.977537	4000	False	0.001591
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000507	0.001683	25.033690	4000	False	0.001618
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000516	0.001682	26.114733	4000	False	0.001614
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000448	0.001615	27.174788	4000	False	0.001617
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000484	0.001655	28.216906	4000	False	0.001654
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000487	0.001656	29.264918	4000	False	0.001602
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000518	0.001685	30.319679	4000	False	0.001665
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000514	0.001687	31.385581	4000	False	0.001638
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000446	0.001617	32.453831	4000	False	0.001699
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000456	0.001623	33.479379	4000	False	0.001655
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000469	0.001647	34.506601	4000	False	0.001583
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000479	0.001652	35.567315	4000	False	0.001582
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	35	0.000500	0.001674	36.612594	4000	False	0.001612
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	36	0.000510	0.001683	37.669751	4000	False	0.001643
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	37	0.000464	0.001634	38.730775	4000	False	0.001647
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	38	0.000463	0.001634	39.773266	4000	False	0.001656
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	39	0.000492	0.001669	40.806752	4000	False	0.001613
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	40	0.000491	0.001678	41.859705	4000	False	0.001612
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	41	0.000506	0.001678	42.926969	4000	False	0.001652
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	42	0.000511	0.001687	43.992991	4000	False	0.001670
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	43	0.000482	0.001648	45.051040	4000	False	0.001653
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	44	0.000462	0.001631	46.086536	4000	False	0.001662
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	45	0.000497	0.001673	47.123473	4000	False	0.001633
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	46	0.000487	0.001667	48.180277	4000	False	0.001603
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000505	0.001679	49.235339	4000	False	0.001650
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	48	0.000524	0.001694	50.292951	4000	False	0.001615
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	49	0.000490	0.001655	51.360266	4000	False	0.001643
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	50	0.000468	0.001647	52.404905	4000	False	0.001683
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	51	0.000497	0.001675	53.442534	4000	False	0.001607
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	52	0.000493	0.001671	54.497116	4000	False	0.001630
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	53	0.000501	0.001669	55.564655	4000	False	0.001651
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	54	0.000516	0.001693	56.622585	4000	False	0.001659
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	55	0.000490	0.001669	57.693040	4000	False	0.001642
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	56	0.000468	0.001650	58.753000	4000	False	0.001665
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	57	0.000497	0.001670	59.804719	4000	False	0.001620
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	58	0.000495	0.001666	60.850444	4000	False	0.001670
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	59	0.000505	0.001682	61.898346	4000	False	0.001654
