short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000460	0.002051	0.000002
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000428	0.001959	0.273753
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000422	0.001861	0.535316
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000423	0.001901	0.799178
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000430	0.002023	1.073684
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000430	0.001860	1.344439
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000432	0.001865	1.596916
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000454	0.001910	1.859759
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000461	0.001947	2.129833
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000470	0.001911	2.405067
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000473	0.002017	2.659264
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000458	0.001981	2.946259
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000464	0.002030	3.217516
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000451	0.001987	3.502743
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000435	0.001988	3.775778
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000422	0.001983	4.049321
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000426	0.001978	4.319596
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000425	0.002008	4.581799
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000423	0.002040	4.846130
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000426	0.002121	5.122052
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000453	0.002131	5.404456
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000457	0.001999	5.685629
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000465	0.002033	5.957295
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000461	0.002022	6.226477
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000467	0.002033	6.504005
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000458	0.002020	6.771523
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000471	0.002051	7.048677
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000468	0.002069	7.317471
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000479	0.002079	7.607563
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000475	0.002061	7.885217
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000480	0.002082	8.158729
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000488	0.002097	8.435893
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000499	0.002112	8.715596
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000514	0.002145	8.995100
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000513	0.002148	9.275635
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	35	0.000509	0.002117	9.545793
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	36	0.000500	0.002443	9.834323
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	37	0.000495	0.001967	10.127376
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	38	0.000485	0.001989	10.397119
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	39	0.000461	0.001987	10.666558
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	40	0.000415	0.001913	10.952734
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	41	0.000424	0.001920	11.210962
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	42	0.000428	0.001979	11.474865
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	43	0.000452	0.001935	11.752381
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	44	0.000473	0.001977	12.019995
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	45	0.000479	0.001988	12.290031
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	46	0.000474	0.001953	12.560680
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000491	0.001993	12.824814
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	48	0.000477	0.001991	13.096799
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	49	0.000469	0.001968	13.365416
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	50	0.000469	0.001984	13.627440
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	51	0.000482	0.002032	13.887875
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	52	0.000489	0.002050	14.166140
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	53	0.000487	0.002059	14.434399
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	54	0.000485	0.002073	14.707624
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	55	0.000493	0.002094	14.990536
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	56	0.000499	0.002157	15.277271
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	57	0.000591	0.002413	15.565392
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	58	0.000587	0.002145	15.895802
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	59	0.000586	0.002141	16.175980
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	60	0.000582	0.002150	16.471399
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	61	0.000581	0.002138	16.755200
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	62	0.000574	0.002134	17.033752
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	63	0.000566	0.002176	17.309416
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	64	0.000534	0.002065	17.617898
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	65	0.000562	0.002122	17.894061
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	66	0.000626	0.002222	18.175063
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	67	0.000620	0.002153	18.471371
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	68	0.000628	0.002175	18.765345
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	69	0.000631	0.002182	19.053295
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	70	0.000633	0.002205	19.335919
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	71	0.000629	0.002191	19.627936
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	72	0.000623	0.002193	19.914136
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	73	0.000624	0.002199	20.197780
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	74	0.000616	0.002208	20.478062
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	75	0.000624	0.002181	20.772857
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	76	0.000638	0.002236	21.062433
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	77	0.000644	0.002913	21.353650
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	78	0.000661	0.002144	21.693344
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	79	0.000660	0.002137	22.018646
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	80	0.000679	0.002140	22.329493
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	81	0.000685	0.002155	22.617429
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	82	0.000700	0.002179	22.909635
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	83	0.000689	0.002172	23.211663
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	84	0.000677	0.002145	23.517288
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	85	0.000637	0.002100	23.808977
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	86	0.000598	0.002073	24.096437
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	87	0.000581	0.002070	24.378025
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	88	0.000628	0.002182	24.667779
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	89	0.000628	0.002188	24.965517
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	90	0.000648	0.002238	25.257336
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	91	0.000661	0.002233	25.561283
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	92	0.000684	0.002212	25.885274
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	93	0.000669	0.002222	26.183709
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	94	0.000678	0.002174	26.498438
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	95	0.000678	0.002156	26.776375
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	96	0.000708	0.002179	27.082916
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	97	0.000707	0.002177	27.373363
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	98	0.000724	0.002184	27.659378
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	99	0.000732	0.002192	27.951928
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	100	0.000756	0.002211	28.258557
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	101	0.000737	0.002196	28.553863
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	102	0.000728	0.002185	28.858127
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	103	0.000705	0.002169	29.144273
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	104	0.000675	0.002122	29.452654
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	105	0.000644	0.002077	29.737850
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	106	0.000652	0.002100	30.028626
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	107	0.000674	0.002135	30.304270
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	108	0.000680	0.002152	30.605872
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	109	0.000696	0.002152	30.891290
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	110	0.000701	0.002172	31.178054
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	111	0.000691	0.002150	31.466585
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	112	0.000681	0.002153	31.768298
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	113	0.000684	0.002165	32.058364
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	114	0.000687	0.002173	32.340038
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	115	0.000696	0.002175	32.624631
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	116	0.000719	0.002192	32.929868
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	117	0.000730	0.002210	33.224580
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	118	0.000734	0.002221	33.522876
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	119	0.000741	0.002217	33.812843
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	120	0.000740	0.002231	34.121909
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	121	0.000734	0.002229	34.417801
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	122	0.000726	0.002205	34.707373
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	123	0.000711	0.002211	35.006733
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	124	0.000684	0.002191	35.317466
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	125	0.000652	0.002132	35.612439
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	126	0.000627	0.002113	35.893196
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	127	0.000640	0.002102	36.170816
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	128	0.000654	0.002121	36.462429
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	129	0.000670	0.002141	36.742003
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	130	0.000679	0.002186	37.024643
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	131	0.000675	0.002176	37.312827
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	132	0.000681	0.002190	37.625461
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	133	0.000663	0.002152	37.912088
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	134	0.000663	0.002158	38.205509
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	135	0.000659	0.002185	38.490378
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	136	0.000669	0.002207	38.778961
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	137	0.000665	0.002161	39.061657
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	138	0.000674	0.002210	39.345172
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	139	0.000676	0.002206	39.631577
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	140	0.000687	0.002212	39.939138
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	141	0.000716	0.002279	40.222755
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	142	0.000718	0.002229	40.520606
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	143	0.000722	0.002245	40.812558
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	144	0.000722	0.002256	41.113258
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	145	0.000718	0.002261	41.404490
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	146	0.000720	0.002263	41.704967
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	147	0.000719	0.002257	41.991433
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	148	0.000712	0.002267	42.308285
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	149	0.000695	0.002249	42.606313
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	150	0.000670	0.002193	42.908813
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	151	0.000625	0.002153	43.195838
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	152	0.000654	0.002182	43.480428
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	153	0.000674	0.002193	43.768777
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	154	0.000707	0.002235	44.052622
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	155	0.000700	0.002244	44.342189
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	156	0.000706	0.002255	44.647232
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	157	0.000696	0.002255	44.933745
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	158	0.000694	0.002262	45.221642
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	159	0.000690	0.002228	45.515831
