short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000474	0.004324	0.000002
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000502	0.004343	4.488273
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000490	0.004048	9.024804
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000525	0.004649	13.371569
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000548	0.004445	18.053853
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000506	0.004347	22.630985
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000539	0.004419	27.109006
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000557	0.004447	31.573998
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000519	0.004240	36.076055
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000554	0.003748	40.498770
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000574	0.003807	44.430978
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000567	0.003882	48.395912
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000617	0.003917	52.385788
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000557	0.003874	56.386969
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000662	0.003906	60.364401
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000686	0.003810	64.423279
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000567	0.003781	68.371930
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000568	0.003754	72.238894
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000567	0.003750	76.045917
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000566	0.003670	79.922618
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000581	0.003591	83.772530
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000583	0.003593	87.510907
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000572	0.003586	91.244024
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000585	0.003628	94.965124
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000595	0.003627	98.724020
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000573	0.003621	102.449686
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000585	0.003664	106.166119
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000592	0.003686	109.907204
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000577	0.003692	113.664258
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000585	0.003728	117.401197
