short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) L2 feat copy	Sequence(Average) L1 train total
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	0	0.000713	0.002309
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	1	0.000636	0.002197
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	2	0.000634	0.002091
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	3	0.000643	0.002145
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	4	0.000646	0.002261
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	5	0.000636	0.002103
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	6	0.000644	0.002136
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	7	0.000651	0.002119
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	8	0.000674	0.002213
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	9	0.000680	0.002225
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	10	0.000677	0.002342
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	11	0.000674	0.002403
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	12	0.000677	0.002419
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	13	0.000676	0.002411
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	14	0.000649	0.002372
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	15	0.000630	0.002390
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	16	0.000612	0.002351
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	17	0.000613	0.002379
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	18	0.000646	0.002440
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	19	0.000664	0.002588
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	20	0.000663	0.002512
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	21	0.000678	0.002327
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	22	0.000696	0.002277
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	23	0.000669	0.002261
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	0	0.000684	0.003101
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	1	0.000626	0.002937
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	2	0.000649	0.002861
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	3	0.000635	0.002866
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	4	0.000640	0.002982
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	5	0.000640	0.002859
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	6	0.000648	0.002882
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	7	0.000653	0.002912
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	8	0.000677	0.002945
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	9	0.000683	0.002999
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	10	0.000686	0.003109
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	11	0.000682	0.003168
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	12	0.000677	0.003148
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	13	0.000726	0.003206
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	14	0.000631	0.003137
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	15	0.000625	0.003192
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	16	0.000603	0.003042
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	17	0.000622	0.002999
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	18	0.000616	0.002995
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	19	0.000671	0.003177
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	20	0.000669	0.003121
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	21	0.000690	0.003056
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	22	0.000680	0.002999
dcn	MPSPhaseCollAsymm	8.000000	65536	CR	23	0.000677	0.003043
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	0	0.000775	0.002340
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	1	0.000703	0.002243
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	2	0.000690	0.002153
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	3	0.000695	0.002183
